457.9	469.6	468.9	651
464.8	477.3	477.5	642
475.2	485.3	486.3	629
483.4	493.5	494.9	614
489.4	499.8	500.2	605
496.1	506.4	506.8	593
502.3	513.1	511	582
509.2	519.3	516.6	572
513.6	524	520.7	564
518.7	528.9	524.8	556
522.4	533.2	528.4	550
527.1	537.9	534.4	542
534.6	545	542	532
537.6	549.3	545.4	525
541.9	551.9	547.9	522
541.1	552	547.3	522
542	551.8	549.9	522
542.2	552.6	549.7	522
544.1	553.4	551.9	521
546.4	555.2	552.9	520
547.1	556	553.6	516
550.6	559.2	555.7	512
552.4	560.6	556.8	514
557.1	563.6	559.3	506
553.3	561.9	555.8	506
551.5	559.6	554.6	506
552.7	560.3	555.1	506
558.2	563.7	557.3	505
560.8	567.3	559.7	501
563.1	569.6	561.5	497
462	465.2	470.9	671
469.4	472.5	478.1	653
474.2	478.4	484	640
478.8	483.8	489.5	631
481.9	487.3	493.9	624
481.8	487.6	495.1	623
483.3	487.9	495.6	623
482.9	488.4	495.5	623
484.3	489.1	496.5	621
487	492	498.8	616
490.6	494.7	502.3	611
493.8	498.3	505.8	596
494.4	499.6	508	593
497.1	501.9	510.1	589
496.9	502.4	510.6	588
497.6	503.4	511.4	587
496.3	502.8	511.7	588
499.1	505.1	512.7	595
496.9	504.4	512.6	596
498.7	505	513.2	595
498.2	505.7	513.3	594
500.7	507	514.3	592
503.2	510.3	516.4	586
508.3	514.3	519.7	579
510.3	517.6	521.5	574
512.5	519.2	522.4	572
514.2	521.6	523.6	568
514.5	522.8	524.3	566
518.3	524.7	525.6	563
519.1	526.3	526.4	560
521.5	526.2	527.1	560
519.2	525.6	525.4	561
520.6	525	524.9	562
520.5	524.4	524.9	563
523.3	526.4	526.3	560
522.5	526.3	526.4	560
523.5	526.6	526.2	559
522.2	526.4	525.3	560
523.1	526.3	524.9	560
523.8	527.7	525.5	558
524	527.3	525.7	558
525.8	529.4	526.4	556
524.8	528.4	526.3	557
524.2	528.5	526.4	557
523.1	527.1	526.2	559
525.3	529.6	528.3	555
526.8	530.4	529.8	554
528.3	531.8	531.5	551
531.6	534.1	533.1	548
533.4	536.4	535.2	545
536.1	539.1	537.2	540
536.8	540.6	539	538
540.3	543.1	542	535
541.8	544.8	543.9	532
544.2	546.9	545.1	529
544.8	547.3	546.9	529
546.6	548.7	548.4	526
485.3	486.3	502	626
493.5	494.9	508.3	611
499.8	500.2	513.1	604
506.4	506.8	518.2	593
513.1	511	523.9	585
519.3	516.6	528.3	576
524	520.7	532.6	570
528.9	524.8	536.3	563
533.2	528.4	540.3	557
537.9	534.4	544.5	548
545	542	549.9	536
549.3	545.4	553.4	531
551.9	547.9	555.1	528
552	547.3	555.6	528
551.8	549.9	555.8	525
556	553.6	558.9	521
559.2	555.7	560.8	517
560.6	556.8	562.1	515
563.6	559.3	564.7	512
561.9	555.8	564.4	512
559.6	554.6	562.9	512
560.3	555.1	562.7	512
563.7	557.3	563.8	512
478.4	484	476.1	631
483.8	489.5	481.6	621
487.3	493.9	486.8	612
487.6	495.1	488.6	601
487.9	495.6	489.2	600
488.4	495.5	489.9	601
489.1	496.5	492.4	599
492	498.8	496.1	595
502.4	510.6	508.4	586
503.4	511.4	508.6	584
502.8	511.7	508.7	584
505.1	512.7	509	582
504.4	512.6	509	582
505	513.2	509.3	581
505.7	513.3	509.4	581
507	514.3	510.2	580
521.6	523.6	516.9	564
522.8	524.3	517.5	563
524.7	525.6	519.7	562
526.3	526.4	520.9	560
526.2	527.1	521.5	559
525.6	525.4	521	561
525	524.9	520.3	562
524.4	524.9	520	562
527.7	525.5	519.8	561
527.3	525.7	520.6	561
529.4	526.4	521.5	560
528.4	526.3	522.7	560
528.5	526.4	523	560
527.1	526.2	523.6	560
529.6	528.3	524.9	557
536.4	535.2	530.5	546
539.1	537.2	532.7	543
540.6	539	534.5	541
543.1	542	536.5	536
544.8	543.9	538.5	533
