492	498.8	496.1
457.9	469.6	468.9
464.8	477.3	477.5
475.2	485.3	486.3
483.4	493.5	494.9
489.4	499.8	500.2
496.1	506.4	506.8
502.3	513.1	511
509.2	519.3	516.6
513.6	524	520.7
518.7	528.9	524.8
522.4	533.2	528.4
527.1	537.9	534.4
534.6	545	542
537.6	549.3	545.4
541.9	551.9	547.9
541.1	552	547.3
542	551.8	549.9
542.2	552.6	549.7
544.1	553.4	551.9
546.4	555.2	552.9
547.1	556	553.6
550.6	559.2	555.7
552.4	560.6	556.8
557.1	563.6	559.3
553.3	561.9	555.8
551.5	559.6	554.6
552.7	560.3	555.1
558.2	563.7	557.3
560.8	567.3	559.7
563.1	569.6	561.5
462	465.2	470.9
469.4	472.5	478.1
474.2	478.4	484
478.8	483.8	489.5
481.9	487.3	493.9
481.8	487.6	495.1
483.3	487.9	495.6
482.9	488.4	495.5
484.3	489.1	496.5
487	492	498.8
490.6	494.7	502.3
493.8	498.3	505.8
494.4	499.6	508
497.1	501.9	510.1
496.9	502.4	510.6
497.6	503.4	511.4
496.3	502.8	511.7
499.1	505.1	512.7
496.9	504.4	512.6
498.7	505	513.2
498.2	505.7	513.3
500.7	507	514.3
503.2	510.3	516.4
508.3	514.3	519.7
510.3	517.6	521.5
512.5	519.2	522.4
514.2	521.6	523.6
514.5	522.8	524.3
518.3	524.7	525.6
519.1	526.3	526.4
521.5	526.2	527.1
519.2	525.6	525.4
520.6	525	524.9
520.5	524.4	524.9
523.3	526.4	526.3
522.5	526.3	526.4
523.5	526.6	526.2
522.2	526.4	525.3
523.1	526.3	524.9
523.8	527.7	525.5
524	527.3	525.7
525.8	529.4	526.4
524.8	528.4	526.3
524.2	528.5	526.4
523.1	527.1	526.2
525.3	529.6	528.3
526.8	530.4	529.8
528.3	531.8	531.5
531.6	534.1	533.1
533.4	536.4	535.2
536.1	539.1	537.2
536.8	540.6	539
540.3	543.1	542
541.8	544.8	543.9
544.2	546.9	545.1
544.8	547.3	546.9
546.6	548.7	548.4
485.3	486.3	502
493.5	494.9	508.3
499.8	500.2	513.1
506.4	506.8	518.2
513.1	511	523.9
519.3	516.6	528.3
524	520.7	532.6
528.9	524.8	536.3
533.2	528.4	540.3
537.9	534.4	544.5
545	542	549.9
549.3	545.4	553.4
551.9	547.9	555.1
552	547.3	555.6
551.8	549.9	555.8
556	553.6	558.9
559.2	555.7	560.8
560.6	556.8	562.1
563.6	559.3	564.7
561.9	555.8	564.4
559.6	554.6	562.9
560.3	555.1	562.7
563.7	557.3	563.8
478.4	484	476.1
483.8	489.5	481.6
487.3	493.9	486.8
487.6	495.1	488.6
487.9	495.6	489.2
488.4	495.5	489.9
489.1	496.5	492.4
492	498.8	496.1
502.4	510.6	508.4
503.4	511.4	508.6
502.8	511.7	508.7
505.1	512.7	509
504.4	512.6	509
505	513.2	509.3
505.7	513.3	509.4
507	514.3	510.2
521.6	523.6	516.9
522.8	524.3	517.5
524.7	525.6	519.7
526.3	526.4	520.9
526.2	527.1	521.5
525.6	525.4	521
525	524.9	520.3
524.4	524.9	520
527.7	525.5	519.8
527.3	525.7	520.6
529.4	526.4	521.5
528.4	526.3	522.7
528.5	526.4	523
527.1	526.2	523.6
529.6	528.3	524.9
536.4	535.2	530.5
539.1	537.2	532.7
540.6	539	534.5
543.1	542	536.5
544.8	543.9	538.5
